
 1. Model_Metrics of Top Learners = 
                                              model_id  mean_residual_deviance       rmse         mse       mae     rmsle
0    StackedEnsemble_AllModels_AutoML_20230715_170227               61.693136   7.854498   61.693136  4.146368  0.262891
1                        GLM_1_AutoML_20230715_170227               61.736397   7.857251   61.736397  4.933076  0.354135
2   StackedEnsemble_BestOfFamily_AutoML_20230715_1...               65.211385   8.075357   65.211385  4.263671  0.272697
3                        GBM_1_AutoML_20230715_170227               91.128187   9.546108   91.128187  4.431079  0.222410
4                        DRF_1_AutoML_20230715_170227              276.989259  16.642994  276.989259  6.298733  0.390303
5                        GBM_4_AutoML_20230715_170227              298.826458  17.286598  298.826458  5.972187  0.237618
6                        GBM_3_AutoML_20230715_170227              301.800911  17.372418  301.800911  5.763402  0.230748
7                        GBM_2_AutoML_20230715_170227              324.777059  18.021572  324.777059  5.769592  0.236350
8                        XRT_1_AutoML_20230715_170227              328.683437  18.129629  328.683437  6.886857  0.442124
9          GBM_grid__1_AutoML_20230715_170227_model_1              444.767773  21.089518  444.767773  6.363898  0.329033
10         GBM_grid__1_AutoML_20230715_170227_model_2              639.577321  25.289866  639.577321  7.759857  0.373440
11                       GBM_5_AutoML_20230715_170227              801.159965  28.304769  801.159965  9.056635  0.387192, 


 2. Predicted_Dataframe =
     state  city  pollutant_id  pollutant_min  pollutant_max  pred(pollutant_avg)
0       6     4             1             11             34            18.331204
1       0     3             4             11             34            20.616053
2       0     3             4             11             34            20.616053
3       0     3             4             11             34            20.616053
4       0     3             4             11             34            20.616053
5       0     3             4             11             34            20.616053
6       0     3             4             11             34            20.616053
7       0     3             4             11             34            20.616053
8       0     3             5             11             34            20.978508
9       0     3             5             11             34            20.978508
10      0     3             5             11             34            20.978508
11      0     3             5             11             34            20.978508
12      0     3             5             11             34            20.978508
13      0     3             5             11             34            20.978508
14      0     3             5             11             34            20.978508
15      0     3             2             11             34            18.596600
16      0     3             2             11             34            18.596600
17      0     3             2             11             34            18.596600
18      0     3             2             11             34            18.596600
19      0     3             2             11             34            18.596600
20      0     3             2             11             34            18.596600
21      0     3             2             11             34            18.596600
22      0     3             1             11             34            17.677366
23      0     3             1             11             34            17.677366
24      0     3             6             11             34            20.629342
25      0     3             6             11             34            20.629342
26      4     2             4             11             34            21.439723
27      4     2             5             11             34            21.891294
28      4     2             5             11             34            21.891294
29      4     2             2             11             34            19.437742
30      4     2             1             11             34            18.488394
31      4     2             6             11             34            21.473786
32      3     6             5             11             34            20.701756
33      1     0             4             11             34            21.051147
34      1     0             5             11             34            21.483656
35      1     0             2             11             34            19.210827
36      1     0             1             11             34            18.286593
37      1     0             1             11             34            18.286593
38      1     0             6             11             34            21.127815
39      5     5             4             11             34            21.205762
40      5     5             4             11             34            21.205762
41      5     5             4             11             34            21.205762
42      5     5             5             11             34            21.657333
43      5     5             5             11             34            21.657333
44      5     5             2             11             34            18.903901
45      5     5             2             11             34            18.903901
46      5     5             1             11             34            17.950733
47      5     5             1             11             34            17.950733
48      5     5             1             11             34            17.950733
49      5     5             6             11             34            20.947556
50      5     5             6             11             34            20.947556
51      5     5             0             11             34            17.957111
52      5     5             3             11             34            19.704258
53      2     1             6             11             34            21.262722, 


 3. Meta Learners = 
 [('GLM_1_AutoML_20230715_170227', 33.73807144165039, 1.0, 0.8581448530956711), ('GBM_5_AutoML_20230715_170227', 2.2095086574554443, 0.06549006991335483, 0.05619996642502112), ('GBM_grid__1_AutoML_20230715_170227_model_2', 2.121755838394165, 0.06288906709038534, 0.05396792923960253), ('GBM_1_AutoML_20230715_170227', 1.2457882165908813, 0.036925294284987746, 0.03168725123970523), ('DRF_1_AutoML_20230715_170227', 0.0, 0.0, 0.0), ('GBM_4_AutoML_20230715_170227', 0.0, 0.0, 0.0), ('GBM_3_AutoML_20230715_170227', 0.0, 0.0, 0.0), ('GBM_2_AutoML_20230715_170227', 0.0, 0.0, 0.0), ('XRT_1_AutoML_20230715_170227', 0.0, 0.0, 0.0), ('GBM_grid__1_AutoML_20230715_170227_model_1', 0.0, 0.0, 0.0)].
